[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /flood-endpoint
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /hidden-admin-panel
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /hidden-admin-panel
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /flood-endpoint
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /login?username=<script>alert('Hacked!')</script>
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /admin/../../../etc/passwd
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /login?username=<script>alert('Hacked!')</script>
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /admin/../../../etc/passwd
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /hidden-admin-panel
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /flood-endpoint
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /hidden-admin-panel
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /flood-endpoint
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /login?username=<script>alert('Hacked!')</script>
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /login?username=<script>alert('Hacked!')</script>
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /admin/../../../etc/passwd
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /admin/../../../etc/passwd
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🕵️ Thief attacked from 66.66.66.66! Reason: MALICIOUS PATTERN DETECTED, Target: /?id=1 UNION SELECT * FROM users
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /hidden-admin-panel
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /flood-endpoint
[08.02.2025, 14:22:48] ⚔️ 🪓 Barbarian attacked from 66.66.66.66! Reason: HIGH REQUEST RATE DETECTED, Target: /?id=1 UNION SELECT * FROM users
